id,num_orders
1028232,1038.6387528788662
1262649,1079.4946431053559
1453211,1057.0794392163166
1262599,850.2807778773396
1495848,1049.3583039589623
1342607,1026.5991617702982
1358429,1072.5872494927694
1475006,1118.1424985741792
1009709,1137.526327463829
1460444,649.1066980562126
1476535,1541.0338585103357
1297121,1587.9521435682086
1141103,1655.8517840537004
1274933,1590.3991316371157
1435122,4439.585383511309
1486477,3513.7129989400987
1195364,1554.8850599765212
1301491,1578.9681289964497
1059056,1280.8383573130393
1098228,1578.8735089973036
1080847,320.66802263769864
1064602,373.95780017744687
1093227,346.05173808010335
1177861,308.2219611717784
1259611,317.2297040253596
1274836,268.7881821326219
1030333,363.7158888136547
1249982,283.3099569045064
1188591,285.20442187807873
1316160,347.3456396926384
1419545,126.96444760873823
1062437,166.88456062158681
1181575,150.77865270046044
1143023,167.95587516709512
1278339,133.44221431337348
1282203,173.28966924932266
1080746,170.27486000233404
1296937,164.29571942392286
1210564,165.37495729949913
1390579,152.0680879504526
1436947,158.60848541618273
1045739,141.6077483144094
1318087,133.69601506552954
1223698,149.5696923992697
1436625,339.9566911924932
1383644,225.08214752103024
1045356,142.53958442767092
1121593,140.87003119548785
1114635,145.1456205643113
1332667,128.21497954464533
1039351,91.96320330009313
1319273,64.58412581871634
1305518,100.7498880184993
1327143,110.68344899391
1272171,100.01254231701243
1223757,94.0483118583436
1090089,92.30326293739385
1128850,93.66517441757348
1446344,115.73674411749344
1237947,68.77431713936308
1452835,29.640562709091608
1029462,29.65372178552854
1365321,29.057242018083418
1377892,29.06048531593022
1378346,27.538238510187217
1261333,27.49606231923973
1427333,26.730110082065504
1157382,25.307342381877955
1168967,132.39732346559836
1306954,317.85883795561443
1342909,145.97310245124802
1244760,141.2005711864859
1431361,163.27966603597474
1276681,258.7193107291176
1148958,287.07231856241964
1184174,140.92502673667224
1323560,143.22534425024165
1066229,122.94683842442954
1025558,568.9058612370096
1083889,615.627312394702
1378453,549.802822386151
1434331,575.340487736436
1311554,574.2938391247117
1111904,529.2123269082307
1430955,581.5896828968879
1455829,540.3887331392708
1182896,579.3189367439735
1205862,586.055202187139
1215917,101.4212450350941
1409427,101.68858959168739
1100468,101.0445329262301
1411863,101.86436602549576
1010693,101.99948655487394
